model,repair_delta_B,stale_delta_B,repair_delta_C,stale_delta_C,stage1to2_tmax,stage1to2_origin_ttft_ms,stage1to2_repair_ttft_ms,stage1to2_ttft_saved_ms,stage1to2_repair_overhead_us_per_token,stage2to3_tmax,stage2to3_origin_ttft_ms,stage2to3_repair_ttft_ms,stage2to3_ttft_saved_ms,stage2to3_repair_overhead_us_per_token
LLaMA-2-7B,-0.1679,1.7357,0.0212,3.8734,1500,227.7,56.7,171.0,95.8,1500,228.5,54.4,174.1,71.8
Falcon-7B,-0.4981,1.0758,0.6033,6.7887,1487,232.8,59.5,173.3,89.6436,1487,234.0,53.4,180.6,78.4802
Gemma-7B,0.0802,2.7582,0.1157,4.9098,1483,270.8,66.2,204.6,214.0256,1483,273.1,65.3,207.8,199.056
LLaMA-2-13B,-0.1155,1.0295,0.1,1.4258,1500,410.8,89.1,321.7,137.4,1500,415.6,89.0,326.6,109.0667
